Profession,Average,Men rate,職業,Occupation,Total Employed,Women Percent,Men Percent,White Percent,Black or African American Percent,Asian Percent,Hispanic or Latino Percent
butcher,6.03,83.8333333333333,屠夫,"Butchers and other meat, poultry, and fish processing workers",243,27.6,72.4,72,16.3,7.3,36.6
fire fighter,6.05,84.1666666666667,消防員,Firefighters,296,3.9,96.1,88,8,1.3,16.7
guard,6.08,84.6666666666667,警衛,Security guards and gambling surveillance officers,925,24.9,75.1,53,36.1,4.4,20.2
plumber,6.13,85.5,水管工,"Plumbers, pipefitters, and steamfitters",635,2.2,97.8,84.7,10.1,2.2,28.3
farmer,6.2,86.6666666666667,農民,"Farmers, ranchers, and other agricultural managers",876,27.4,72.6,96.2,1.4,0.8,6.4
carpenter,6.23,87.1666666666667,木匠,Carpenters,1275,3.1,96.9,89,5.2,1.3,44.2
trucker,6.28,88,卡車司機,Driver/sales workers and truck drivers,3551,6.9,93.1,72.4,20.5,3.5,24.1
barber,6.33,88.8333333333333,理髮師,Barbers,149,28.4,71.6,61.5,31.1,4.6,39.3
roofer,6.38,89.6666666666667,屋頂工,Roofers,235,4.4,95.6,88.5,5.5,0.5,63.1
construction worker,6.4,90,建築工人,Construction laborers,2223,4.5,95.5,84,9.1,1.3,51.9
auto mechanic,6.53,92.1666666666667,汽車修理工,Automotive service technicians and mechanics,933,2.5,97.5,82.9,8.1,3.5,28.7
heavy equipment operator,6.55,92.5,重型機械操作員,Construction equipment operators,395,1,99,89.8,5.7,0.7,20.7
